X_coordinate,Y_coordinate,state,code,name,zone,address
84.084599,24.953195,,KWD,KARWANDIA,,
70.64304,25.743851,Rajasthan,GDD,Gadra Road,NWR,"Gadara, Rajasthan"
84.019423,24.955926,,SSM,SASARAM,,
88.311822,23.277796,West Bengal,DTAE,DHATRIGRAM,ER,"Dhatrigram, West Bengal"
78.714909,20.77665,,SLOR,SELOO ROAD,,
78.883342,20.816446,,SNI,SINDI,,
73.19871,23.351916,Gujarat,DNUA,Dhansura,WR,"State Highway 68, Gujarat"
82.743775,22.019979,,SGRD,SULGARE,,
82.813724,22.011725,,BUA,BARADWAR,,
82.956526,22.011785,,SKT,SAKTI,,
78.05712899,10.51562799,Tamil Nadu,EDU,ERIODU,SR,"State Highway 74, Tamil Nadu"
81.648076,27.111885,,SUJ,SARJU,,
77.786203,8.830736,Tamil Nadu,GDN,GANGAIKONDAN,SR,"Thoothukudi, Tamil Nadu"
77.941557,29.814493,,LDR,LANDAURA,,
79.13019,28.658317,,DUN,DUGANPUR,,
79.371946,28.396895,,CBJ,CLUTTER BUCK GANJ,,
79.4108444,28.3371543,,BE,BAREILLY,,
,,,NHGJ,NHGJ,,
92.798715,25.090538,Assam,DTC,DITOKCHERRA,NFR,"North Cachar Hills, Assam"
92.581099,24.872902,Assam,BPG,BADURPUR GHAT,NFR,"National Highway 53, Assam"
76.794583,25.845508,Rajasthan,GIW,Girdharpur,NCR,"State Highway 6, Rajasthan"
79.474459,28.26396,,RYS,RASURIYA,,
85.099366,25.763263,,NYO,NAYAGAON,,
85.133951,25.741291,,PMU,PARMANANDPUR,,
82.5441789069,27.5268392968,Uttar Pradesh,GIR,Gainsari Junction,NER,"Balrampur, Uttar Pradesh"
80.4684248,15.9086144,,BPP,BAPATLA,,
80.514466,15.970371,,APL,APPIKATLA,,
80.541541,16.025343,,MCVM,MACHAVARAM,,
81.396533,16.819948,,CEL,CHEBROL,,
86.468503,26.282768,Bihar,GGH,Ghogardiha,ECR,"Ghoghardiha, Bihar"
81.473751,16.828104,,BPY,BADAMPUDI,,
